Company,Country,Fossil Free Funds: Coal screen,Fossil Free Funds: Oil / gas screen,Fossil Free Funds: Macroclimate30 coal-fired utility screen,Fossil Free Funds: Fossil-fired utility screen,Fossil Free Funds: Clean200 screen,Deforestation Free Funds: Producer screen,Deforestation Free Funds: Financier screen,Deforestation Free Funds: Consumer brand screen,Deforestation Free Funds: Palm oil producer screen,Deforestation Free Funds: Palm oil consumer brand screen,Deforestation Free Funds: Paper / pulp producer screen,Deforestation Free Funds: Paper / pulp consumer brand screen,Deforestation Free Funds: Rubber producer screen,Deforestation Free Funds: Rubber consumer brand screen,Deforestation Free Funds: Timber producer screen,Deforestation Free Funds: Timber consumer brand screen,Deforestation Free Funds: Cattle producer screen,Deforestation Free Funds: Cattle consumer brand screen,Deforestation Free Funds: Soy producer screen,Deforestation Free Funds: Soy consumer brand screen,Weapons Free Funds: Major military contractor screen,Weapons Free Funds: Cluster munitions / landmines screen,Weapons Free Funds: Nuclear weapons screen,Gun Free Funds: Gun manufacturers screen,Gun Free Funds: Gun retailers screen,Tobacco Free Funds: Tobacco producers screen,Tobacco Free Funds: Tobacco-promoting entertainment companies screen,Gender Equality Funds: Has Equileap gender equality score,CreatedDate,Prison Free Funds: Prison industry screen,Prison Free Funds: Border industry screen,Prison Free Funds: Higher risk screen,Prison Free Funds: Private prison operators screen,Fossil Free Funds: Fossil fuel finance screen,Fossil Free Funds: Fossil fuel finance risk score,Fossil Free Funds: Fossil fuel insurance screen,Fossil Free Funds: Fossil fuel insurance risk score,Ticker,Stock_Price,ESGScore
Banco Macro SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0,N,0, BMA,17.14999962,0.396825397
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0,N,0,CEPU,2.5,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0,N,0, CRESY,3.650000095,1.19047619
Enel Generacion Costanera SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0,N,0, EDCFF,0.151999995,0.396825397
Grupo Supervielle SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0,N,0, SUPV,1.669999957,0.396825397
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0,N,0, PAM,10.93999958,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/14/2020,N,N,N,N,N,0,N,0, TGS,4.739999771,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,4/14/2020,N,N,N,N,N,0,N,0,YPF,4.269999981,1.587301587
Banco Macro SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,5/19/2020,N,N,N,N,N,0,N,0, BMA,19.60000038,0.396825397
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/19/2020,N,N,N,N,N,0,N,0,CEPU,3.079999924,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,5/19/2020,N,N,N,N,N,0,N,0, CRESY,3.630000114,1.19047619
Enel Generacion Costanera SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/19/2020,N,N,N,N,N,0,N,0, EDCFF,0.0889,0.396825397
Grupo Supervielle SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,5/19/2020,N,N,N,N,N,0,N,0, SUPV,2.099999905,0.396825397
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/19/2020,N,N,N,N,N,0,N,0, PAM,11.72000027,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/19/2020,N,N,N,N,N,0,N,0, TGS,5.550000191,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,5/19/2020,N,N,N,N,N,0,N,0,YPF,4.570000172,1.587301587
Banco Macro SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,6/10/2020,N,N,N,N,N,0,N,0, BMA,22.73999977,0.396825397
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/10/2020,N,N,N,N,N,0,N,0,CEPU,2.950000048,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,6/10/2020,N,N,N,N,N,0,N,0, CRESY,4.119999886,1.19047619
Enel Generacion Costanera SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/10/2020,N,N,N,N,N,0,N,0, EDCFF,0.07,0.396825397
Grupo Supervielle SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,6/10/2020,N,N,N,N,N,0,N,0, SUPV,2.980000019,0.396825397
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/10/2020,N,N,N,N,N,0,N,0, PAM,11.82999992,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/10/2020,N,N,N,N,N,0,N,0, TGS,6.130000114,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,6/10/2020,N,N,N,N,N,0,N,0,YPF,6.440000057,1.587301587
Banco Macro SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,7/16/2020,N,N,N,N,N,0,N,0, BMA,22.19000053,0.396825397
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/16/2020,N,N,N,N,N,0,N,0,CEPU,2.769999981,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,7/16/2020,N,N,N,N,N,0,N,0, CRESY,3.660000086,1.19047619
Enel Generacion Costanera SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/16/2020,N,N,N,N,N,0,N,0, EDCFF,0.07,0.396825397
Grupo Supervielle SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,7/16/2020,N,N,N,N,N,0,N,0, SUPV,2.630000114,0.396825397
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/16/2020,N,N,N,N,N,0,N,0, PAM,11.61999989,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/16/2020,N,N,N,N,N,0,N,0, TGS,5.909999847,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,7/16/2020,N,N,N,N,N,0,N,0,YPF,6.590000153,1.587301587
Banco Macro SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,8/11/2020,N,N,N,N,N,0,N,0, BMA,22.55999947,0.396825397
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8/11/2020,N,N,N,N,N,0,N,0, CEPU,2.75999999,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,8/11/2020,N,N,N,N,N,0,N,0, CRESY,3.460000038,1.19047619
Enel Generacion Costanera SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8/11/2020,N,N,N,N,N,0,N,0, EDCFF,0.07,0.396825397
Grupo Supervielle SA,Argentina,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,8/11/2020,N,N,N,N,N,0,N,0, SUPV,2.954999924,0.396825397
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8/11/2020,N,N,N,N,N,0,N,0, PAM,11.55000019,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8/11/2020,N,N,N,N,N,0,N,0, TGS,5.760000229,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,8/11/2020,N,N,N,N,N,0,N,0,YPF,6.300000191,1.587301587
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/28/2020,N,N,N,N,N,0,N,0, CEPU,2.24000001,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,9/28/2020,N,N,N,N,N,0,N,0, CRESY,3.079999924,1.19047619
Enel Generacion Costanera SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/28/2020,N,N,N,N,N,0,N,0, EDCFF,0.0973,0.396825397
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/28/2020,N,N,N,N,N,0,N,0, PAM,10.77000046,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/28/2020,N,N,N,N,N,0,N,0, TGS,4.329999924,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,9/28/2020,N,N,N,N,N,0,N,0,YPF,3.839999914,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,11/11/2020,N,N,N,N,N,0,N,0, CEPU,2.579999924,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,11/11/2020,N,N,N,N,N,0,N,0, CRESY,3.900000095,1.19047619
Enel Generacion Costanera SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,11/11/2020,N,N,N,N,N,0,N,0, EDCFF,0.086340003,0.396825397
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,11/11/2020,N,N,N,N,N,0,N,0, PAM,13.78999996,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,11/11/2020,N,N,N,N,N,0,N,0, TGS,5.409999847,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,11/11/2020,N,N,N,N,N,0,N,0,YPF,4.869999886,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/21/2021,N,N,N,N,N,0,N,0, CEPU,2.470000029,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,1/21/2021,N,N,N,N,N,0,N,0, CRESY,5.829999924,1.19047619
Enel Generacion Costanera SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/21/2021,N,N,N,N,N,0,N,0, EDCFF,0.064999998,0.396825397
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/21/2021,N,N,N,N,N,0,N,0, PAM,13.25,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/21/2021,N,N,N,N,N,0,N,0, TGS,5.420000076,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,1/21/2021,N,N,N,N,N,0,N,0,YPF,3.730000019,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/3/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,3/3/2021,N,N,N,N,N,0,N,0, CRESY,4.929999828,1.19047619
Enel Generacion Costanera SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/3/2021,N,N,N,N,N,0,N,0, EDCFF,0.064999998,0.396825397
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/3/2021,N,N,N,N,N,0,N,0, PAM,13.47000027,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/3/2021,N,N,N,N,N,0,N,0, TGS,4.679999828,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,3/3/2021,N,N,N,N,N,0,N,0,YPF,4.079999924,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/1/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,4/1/2021,N,N,N,N,N,0,N,0, CRESY,5.489999771,1.19047619
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/1/2021,N,N,N,N,N,0,N,0, PAM,15.02999973,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4/1/2021,N,N,N,N,N,0,N,0, TGS,4.869999886,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,4/1/2021,N,N,N,N,N,0,N,0,YPF,4.260000229,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/3/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,5/3/2021,N,N,N,N,N,0,N,0, CRESY,5.739999771,1.19047619
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/3/2021,N,N,N,N,N,0,N,0, PAM,13.98999977,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5/3/2021,N,N,N,N,N,0,N,0, TGS,4.619999886,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,5/3/2021,N,N,N,N,N,0,N,0,YPF,3.869999886,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/15/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,7/15/2021,N,N,N,N,N,0,N,0, CRESY,6.619999886,1.19047619
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/15/2021,N,N,N,N,N,0,N,0, PAM,16.04000092,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,7/15/2021,N,N,N,N,N,0,N,0, TGS,4.659999847,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,7/15/2021,N,N,N,N,N,0,N,0,YPF,4.489999771,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8/9/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,8/9/2021,N,N,N,N,N,0,N,0, CRESY,6.199999809,1.19047619
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8/9/2021,N,N,N,N,N,0,N,0, PAM,15.5,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,8/9/2021,N,N,N,N,N,0,N,0, TGS,4.789999962,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,8/9/2021,N,N,N,N,N,0,N,0,YPF,4.5,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/2/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,9/2/2021,N,N,N,N,N,0,N,0, CRESY,5.869999886,1.19047619
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/2/2021,N,N,N,N,N,0,N,0, PAM,18.05999947,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/2/2021,N,N,N,N,N,0,N,0, TGS,5.409999847,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,9/2/2021,N,N,N,N,N,0,N,0,YPF,5.170000076,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/9/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,9/9/2021,N,N,N,N,N,0,N,0, CRESY,5.730000019,1.19047619
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/9/2021,N,N,N,N,N,0,N,0, PAM,17.79999924,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,9/9/2021,N,N,N,N,N,0,N,0, TGS,5.28000021,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,9/9/2021,N,N,N,N,N,0,N,0,YPF,5.420000076,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10/19/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,10/19/2021,N,N,N,N,N,0,N,0, CRESY,5.75,1.19047619
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10/19/2021,N,N,N,N,N,0,N,0, PAM,20.51000023,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10/19/2021,N,N,N,N,N,0,N,0, TGS,5.699999809,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,10/19/2021,N,N,N,N,N,0,N,0,YPF,4.590000153,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10/29/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,10/29/2021,N,N,N,N,N,0,N,0, CRESY,5.46999979,1.19047619
Pampa Energia SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10/29/2021,N,N,N,N,N,0,N,0, PAM,18.89999962,0.396825397
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,10/29/2021,N,N,N,N,N,0,N,0, TGS,5.53000021,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,10/29/2021,N,N,N,N,N,0,N,0,YPF,4.380000114,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,12/14/2021,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,12/14/2021,N,N,N,N,N,0,N,0, CRESY,4.980000019,1.19047619
Pampa Energia SA,Argentina,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,12/14/2021,N,N,N,N,N,0,N,0, PAM,18.45999908,0.793650794
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,12/14/2021,N,N,N,N,N,0,N,0, TGS,4.590000153,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,12/14/2021,N,N,N,N,N,0,N,0,YPF,3.960000038,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/25/2022,N,N,N,N,N,0,N,0, CEPPF,1.840000033,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,1/25/2022,N,N,N,N,N,0,N,0, CRESY,5.019999981,1.19047619
Pampa Energia SA,Argentina,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/25/2022,N,N,N,N,N,0,N,0, PAM,19.44000053,0.793650794
Transportadora de Gas del Sur SA,Argentina,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,1/25/2022,N,N,N,N,N,0,N,0, TGS,4.559999943,0.396825397
YPF SA,Argentina,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,1/25/2022,N,N,N,N,N,0,N,0,YPF,3.980000019,1.19047619
Central Puerto SA,Argentina,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/9/2022,N,N,N,N,N,0,N,0, CEPU,3.579999924,0.396825397
Cresud SACIF y A,Argentina,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,2/9/2022,N,N,N,N,N,0,N,0, CRESY,5.570000172,1.19047619
Pampa Energia SA,Argentina,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2/9/2022,N,N,N,N,N,0,N,0, PAM,19.37000084,0.793650794
