Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore
3SBio Inc,Cayman Islands,4/14/2020, TRSBF,10000,1.429999948,14299.99948,0.396825397
AAC Technologies Holdings Inc,Cayman Islands,4/14/2020, AACAF,10000,4.960000038,49600.00038,0.396825397
AAG Energy Holdings Ltd,Cayman Islands,4/14/2020, AAGEF,10000,0.167999998,1679.99998,0.396825397
Alibaba Group Holding Ltd,Cayman Islands,4/14/2020, BABA,10000,207.9700012,2079700.012,0.396825397
ANTA Sports Products Ltd,Cayman Islands,4/14/2020, ANPDF,10000,7.5,75000,0.396825397
Anton Oilfield Services Group,Cayman Islands,4/14/2020, ATONF,10000,0.0836,836,0.396825397
ASM Pacific Technology Ltd,Cayman Islands,4/14/2020, ASMVF,10000,14.5,145000,0.396825397
Autohome Inc,Cayman Islands,4/14/2020, ATHM,10000,73.58999634,735899.9634,0.396825397
Baidu Inc,Cayman Islands,4/14/2020, BIDU,10000,103.1100006,1031100.006,0.396825397
BeiGene Ltd,Cayman Islands,4/14/2020, BGNE,10000,158.6399994,1586399.994,0.396825397
Brooge Holdings Ltd,Cayman Islands,4/14/2020,BROG,10000,11.69999981,116999.9981,0.396825397
Caribbean Utilities Co Ltd,Cayman Islands,4/14/2020, CUPUF,10000,13.75,137500,0.396825397
China Evergrande Group,Cayman Islands,4/14/2020, EGRNF,10000,1.730000019,17300.00019,0.396825397
China Literature Ltd,Cayman Islands,4/14/2020, CHLLF,10000,3.900000095,39000.00095,0.396825397
China Medical System Holdings Ltd,Cayman Islands,4/14/2020, CHSYF,10000,1.25999999,12599.9999,0.396825397
China Mengniu Dairy Co Ltd,Cayman Islands,4/14/2020, CIADF,10000,3.690000057,36900.00057,1.984126984
China Resources Cement Holdings Ltd,Cayman Islands,4/14/2020, CARCY,10000,36.75500107,367550.0107,0.396825397
China Resources Land Ltd,Cayman Islands,4/14/2020, CRBJF,10000,4.050000191,40500.00191,0.396825397
China Shanshui Cement Group Ltd,Cayman Islands,4/14/2020, CCGLF,10000,0.349999994,3499.99994,0.396825397
China State Construction International Holdings Ltd,Cayman Islands,4/14/2020, CCOHF,10000,0.800000012,8000.00012,0.396825397
Chow Tai Fook Jewellery Group Ltd,Cayman Islands,4/14/2020, CJEWF,10000,0.795000017,7950.00017,0.396825397
CIMC Enric Holdings Ltd,Cayman Islands,4/14/2020, CIMEF,10000,0.649999976,6499.99976,0.396825397
CK Asset Holdings Ltd,Cayman Islands,4/14/2020, CHKGF,10000,6.321000099,63210.00099,0.396825397
CK Hutchison Holdings Ltd,Cayman Islands,4/14/2020, CKHUF,10000,7.489999771,74899.99771,2.380952381
Country Garden Holdings Co Ltd,Cayman Islands,4/14/2020, CTRYF,10000,1.230000019,12300.00019,0.396825397
Endeavour Mining Corp,Cayman Islands,4/14/2020, EDV,10000,168.1000061,1681000.061,0.396825397
ENN Energy Holdings Ltd,Cayman Islands,4/14/2020, XNGSF,10000,10,100000,0.793650794
FIH Mobile Ltd,Cayman Islands,4/14/2020, FXCNF,10000,0.119999997,1199.99997,0.396825397
Fresh Del Monte Produce Inc,Cayman Islands,4/14/2020,FDM,10000,33.66999817,336699.9817,0.396825397
Fulcrum Utility Services Ltd,Cayman Islands,4/14/2020,FCRM,10000,0.200000003,2000.00003,0.396825397
Fullshare Holdings Ltd,Cayman Islands,4/14/2020, FLLHF,10000,0.094999999,949.99999,0.396825397
GCL-Poly Energy Holdings Ltd,Cayman Islands,4/14/2020, GCPEF,10000,0.039999999,399.99999,0.793650794
Geely Automobile Holdings Ltd,Cayman Islands,4/14/2020, GELYF,10000,1.549999952,15499.99952,0.396825397
Golden Eagle Retail Group Ltd,Cayman Islands,4/14/2020, GDNEF,10000,0.920000017,9200.00017,0.396825397
Haitian International Holdings Ltd,Cayman Islands,4/14/2020, HAIIF,10000,2.099999905,20999.99905,0.396825397
Hengan International Group Co Ltd,Cayman Islands,4/14/2020, HEGIF,10000,8.149999619,81499.99619,1.19047619
Herbalife Nutrition Ltd,Cayman Islands,4/14/2020,HLF,10000,32.95000076,329500.0076,0.396825397
HKT Trust and HKT Ltd,Cayman Islands,4/14/2020, HKTTF,10000,1.50999999,15099.9999,0.396825397
